,Ticker,Date,Headline,Sentiment
0,AAPL,"Fri, 12 Jan 2018 10:38:00 -0500",Why Apple Is Still A Great Marketer And What You Can Learn,1
1,MSFT,"Fri, 26 Jan 2018 19:00:00 -0500",Inside Tech Companies' Dependence on the Cloud,0
2,NFLX,"Thu, 25 Jan 2018 19:00:00 -0500",Stocks Like Netflix And Boeing Are Trading At Extremes,0
3,TSLA,"Wed, 07 Feb 2018 19:00:00 -0500",CFRA Analyst Says It's 'Very Hard' to Short Tesla,0
4,AMZN,"Wed, 07 Feb 2018 19:00:00 -0500",Amazon Rolls Out Whole Foods Delivery,0
5,TSLA,"Tue, 06 Feb 2018 19:00:00 -0500",Tesla 4Q Revenue Beats Analysts' Expectations,0
6,AMZN,"Thu, 01 Feb 2018 19:00:00 -0500",Why UBS is Raising Its Amazon Price Target to $1600,0
7,AAPL,"Thu, 01 Feb 2018 19:00:00 -0500",Apple Reports Record Profit and Revenue Despite IPhone Sales Fall,0
8,AAPL,"Thu, 01 Feb 2018 19:00:00 -0500",Dan Morgan Says the Apple Story Is Changing,0
9,FB,"Tue, 13 Feb 2018 19:00:00 -0500",Goldman's Bellini Says Facebook's Slowing User Growth Is Not Surprising,0
10,GOOG,"Tue, 13 Feb 2018 19:00:00 -0500",Goldman's Bellini Says Facebook's Slowing User Growth Is Not Surprising,0
11,TSLA,"Tue, 13 Feb 2018 19:00:00 -0500",Tesla's China Dream Hits Roadblock Over Factory,0
12,NFLX,"Tue, 13 Feb 2018 19:00:00 -0500",Netflix Lands Big Talent For $300 Million. Why Experts Say It's Worth It,0
13,AAPL,"Mon, 12 Feb 2018 19:00:00 -0500",What to Watch for at Apple's Shareholder Meeting,0
14,AAPL,"Mon, 12 Feb 2018 19:00:00 -0500","Gadgets With Gurman: Apple's HomePod Lacks Echo's Smarts, but is Ideal iPhone Music Speaker",0
15,AAPL,"Mon, 12 Feb 2018 19:00:00 -0500",Apple Will Continue To Grow At A 'Healthy Clip': Analyst Will Power,0
16,AAPL,"Sun, 11 Feb 2018 19:00:00 -0500","Apple's HomePod Sounds Great, But You Should Probably Just Buy A Sonos",0
17,AMZN,"Sun, 11 Feb 2018 19:00:00 -0500",Amazon Cutting Hundreds of Jobs at Seattle HQ,0
18,FB,"Sun, 11 Feb 2018 19:00:00 -0500",Facebook Losing Its Swagger as Snapchat Lures Teens Away,0
19,FB,"Sun, 11 Feb 2018 19:00:00 -0500","Facebook Losing Battle For Younger Users To Snapchat, According To A New Study",0
20,AMZN,"Sun, 11 Feb 2018 19:00:00 -0500",Analyst Cakmak Says the Flight to Safety Is Not FANG Stocks,0
21,FB,"Sun, 11 Feb 2018 19:00:00 -0500",Analyst Cakmak Says the Flight to Safety Is Not FANG Stocks,0
22,GOOG,"Sun, 11 Feb 2018 19:00:00 -0500",Analyst Cakmak Says the Flight to Safety Is Not FANG Stocks,0
23,NFLX,"Sun, 11 Feb 2018 19:00:00 -0500",Analyst Cakmak Says the Flight to Safety Is Not FANG Stocks,0
24,NFLX,"Thu, 08 Feb 2018 19:00:00 -0500",Comcast CEO Brian Roberts: Comcast And Netflix Have A Nice Relationship,0
25,AMZN,"Thu, 08 Feb 2018 19:00:00 -0500",Here Are Some Stock Picks For The Volatile Market,0
26,AAPL,"Thu, 08 Feb 2018 19:00:00 -0500",Apple A Buy Amid Market Turmoil?,0
27,AMZN,"Thu, 08 Feb 2018 19:00:00 -0500",Amazon Delivery May Be Coming to Your Doorstep Soon,0
28,AMZN,"Thu, 08 Feb 2018 19:00:00 -0500","Amazon is 'Experimenting' With Delivery Service, Says Chukumba",0
29,FB,"Thu, 08 Feb 2018 19:00:00 -0500",Facebook Testing Button to Let Users `Downvote' Comments,0
30,TSLA,"Wed, 21 Feb 2018 19:00:00 -0500",Nomura Analyst Says SpaceX and Tesla Will Merge,0
31,AAPL,"Wed, 21 Feb 2018 19:00:00 -0500",Apple Said to Plan Upgrade to AirPod Headphones,0
32,FB,"Tue, 20 Feb 2018 19:00:00 -0500",Facebook Co-Founder Says Inequality Only Getting Worse,0
33,AAPL,"Tue, 20 Feb 2018 19:00:00 -0500",Why Apple May Be Negotiating to Buy Cobalt Direct From Miners,0
34,FB,"Tue, 20 Feb 2018 19:00:00 -0500",Why Facebook Is Trailing Its Large Cap Peers,0
35,TSLA,"Mon, 19 Feb 2018 19:00:00 -0500",Automakers Want Your Data,0
36,MSFT,"Mon, 19 Feb 2018 19:00:00 -0500",Microsoft Chairman and Rubrik CEO on the Future of Cloud Tech,0
37,FB,"Thu, 15 Feb 2018 19:00:00 -0500",Inside Facebook's Rough Two Years,0
38,FB,"Thu, 15 Feb 2018 19:00:00 -0500",How Snapchat Turned Down Facebook's $3B Takeover Offer,0
39,AAPL,"Thu, 15 Feb 2018 19:00:00 -0500",Apple Having Its Best Week In Over A Year. But Should You Trust The Bounce?,0
40,FB,"Thu, 15 Feb 2018 19:00:00 -0500",Why One Trader Is Shorting Facebook | Trading Nation,0
41,AMZN,"Tue, 27 Feb 2018 19:00:00 -0500",Amazon's Ring Play Is About Seamless Home Delivery: Inside.com Founder Jason Calacanis,0
42,AMZN,"Tue, 27 Feb 2018 19:00:00 -0500",Amazon Buys Home Security Company Ring For Reported $1 Billion,0
43,AAPL,"Tue, 27 Feb 2018 19:00:00 -0500","Amazon, Apple, Roku Taking Heat Over NRA TV",0
44,AMZN,"Tue, 27 Feb 2018 19:00:00 -0500","Amazon, Apple, Roku Taking Heat Over NRA TV",0
45,AMZN,"Mon, 26 Feb 2018 19:00:00 -0500",Amazon to Buy Smart-Doorbell Maker Ring,0
46,MSFT,"Mon, 26 Feb 2018 19:00:00 -0500",Supreme Court Hears U.S. vs. Microsoft Case,0
47,GOOG,"Mon, 26 Feb 2018 19:00:00 -0500",What Google's Hoping for With ARCore,0
48,FB,"Sun, 25 Feb 2018 19:00:00 -0500",Inside Look at Facebook's Ad Operations,0
49,AAPL,"Sun, 25 Feb 2018 19:00:00 -0500",Apple Is Said to Plan Giant iPhone and a Lower-Priced Model,0
50,AMZN,"Wed, 07 Mar 2018 19:00:00 -0500","Food-Delivery Apps GrubHub, Seamless, Amazon Key, And DoorDash Hit The Big Time",0
51,GOOG,"Wed, 07 Mar 2018 19:00:00 -0500",Google Cloud CEO Diane Green on International Women's Day,0
52,NVDA,"Tue, 06 Mar 2018 19:00:00 -0500",Chip Stocks Surged To An All-Time High: Charts Point To More Highs Ahead | Trading Nation,0
53,FB,"Tue, 06 Mar 2018 19:00:00 -0500",Why BlackBerry Is Suing Facebook in Federal Court,0
54,AMZN,"Mon, 05 Mar 2018 19:00:00 -0500",Examining Amazon's Ambitious 2018,0
55,GOOG,"Thu, 01 Mar 2018 19:00:00 -0500",Google Plans a 40-Acre Purchase in San Jose,0
56,AMZN,"Wed, 14 Mar 2018 20:00:00 -0400",Walmart Whistle-Blower Claims Retailer Cheated to Catch Amazon,0
57,GOOG,"Tue, 13 Mar 2018 20:00:00 -0400",Google Built A Synthesizer That Uses A.I. — And You Can Make Your Own,0
58,AMZN,"Mon, 12 Mar 2018 20:00:00 -0400",Whole Foods To Meet With Vendors Over Brand Relations,0
59,AAPL,"Thu, 08 Mar 2018 19:00:00 -0500","Apple Could Face Tariffs Backlash in China, BTIG's Piecyk Says",0
60,FB,"Wed, 21 Mar 2018 20:00:00 -0400",Salesforce's Bret Taylor on M&A Strategy and Facebook's Data Scandal,0
61,FB,"Wed, 21 Mar 2018 20:00:00 -0400",Keybanc's Andy Hargreaves Says Facebook's Problems Can Be Fixed,0
62,AMZN,"Wed, 21 Mar 2018 20:00:00 -0400",Twitch CEO Emmett Shear: We're Continuing To Double-Down On Gaming,0
63,FB,"Wed, 21 Mar 2018 20:00:00 -0400",Will Take Years For Facebook To Change User Data Protection Process: Twitter's Chris Moody,0
64,FB,"Tue, 20 Mar 2018 20:00:00 -0400",Opposing Views on the Facebook Controversy,0
65,FB,"Tue, 20 Mar 2018 20:00:00 -0400",Facebook Lost as Much as $60B in Market Cap Since Data Breach,0
66,FB,"Tue, 20 Mar 2018 20:00:00 -0400",Techonomy CEO Says Facebook Is Truly Broken,0
67,TSLA,"Tue, 20 Mar 2018 20:00:00 -0400",What Elon Musk's Payday Means for Tesla's Future,0
68,FB,"Mon, 19 Mar 2018 20:00:00 -0400",Manipulating Facebook Data Using Psychographic Targeting,0
69,MSFT,"Mon, 19 Mar 2018 20:00:00 -0400","Microsoft The Most 'Stable' Of Big Tech, Says Jim Cramer",0
70,AAPL,"Sun, 18 Mar 2018 20:00:00 -0400",Apple Said to Have Secret Display Manufacturing Facility in California,0
71,AAPL,"Thu, 15 Mar 2018 20:00:00 -0400",NYT's Jim Stewart: Qualcomm Vs. Apple An ‘Unusual' Feud,0
72,AMZN,"Thu, 15 Mar 2018 20:00:00 -0400",Amazon's Dominance Has Changed the Landscape for Corporate America,0
73,AMZN,"Thu, 15 Mar 2018 20:00:00 -0400","Market in 'Hurry to Discount' Amazon Rivals, Says NYU's Galloway",0
74,AMZN,"Wed, 28 Mar 2018 20:00:00 -0400",Tech Giants Face Political Reckoning,0
75,TSLA,"Wed, 28 Mar 2018 20:00:00 -0400",Instinet's Shah Says Tesla Has Tremendous Momentum in Electric Vehicles,0
76,TSLA,"Wed, 28 Mar 2018 20:00:00 -0400",Is Tesla Running on Empty?,0
77,MSFT,"Wed, 28 Mar 2018 20:00:00 -0400",Microsoft (MSFT) and Lockheed Martin (LMT): Growth and Income Stocks,0
78,NVDA,"Tue, 27 Mar 2018 20:00:00 -0400",Nvidia Has Some Big Challenges Ahead: Kevin O'Leary And Jason Calacanis On Tech Stocks,0
79,FB,"Tue, 27 Mar 2018 20:00:00 -0400","'Stunning' That Zuckerberg Won't Testify in U.K., Wieser Says",0
80,FB,"Tue, 27 Mar 2018 20:00:00 -0400","Facebook to Roll Out New Privacy, Security Settings",0
81,AMZN,"Tue, 27 Mar 2018 20:00:00 -0400","Amazon's Goal Is 'World Domination,' Chukumba Says",0
82,TSLA,"Tue, 27 Mar 2018 20:00:00 -0400",Will Tesla Make Software Updates as Authorities Investigate a Crash?,0
83,AMZN,"Tue, 27 Mar 2018 20:00:00 -0400",Kohl's CEO: Amazon Partnership | Mad Money,0
84,FB,"Mon, 26 Mar 2018 20:07:51 -0400",Cambridge Analytica and Facebook's Data Collection Problem | Forbes Tech,-1
85,GOOG,"Mon, 26 Mar 2018 20:00:00 -0400",Why Google May Owe Oracle Billions of Dollars,0
86,FB,"Mon, 26 Mar 2018 20:00:00 -0400","Zuckerberg Would Be 'Shredded' by Congress, Aegis's Anthony Says",0
87,AAPL,"Mon, 26 Mar 2018 20:00:00 -0400","Apple Services to Drive Next Leg of Growth, Says Schoenstein",0
88,GOOG,"Mon, 26 Mar 2018 20:00:00 -0400",Waymo Inks Self-Driving Car Deal With Jaguar,0
89,FB,"Sun, 25 Mar 2018 20:00:00 -0400",FTC Confirms It Is Investigating Facebook's Data Practices,0
90,MSFT,"Sun, 25 Mar 2018 20:00:00 -0400",Microsoft's Path To $1 Trillion Market Cap,0
91,FB,"Thu, 22 Mar 2018 20:00:00 -0400",Kevin O'Leary: I Don't Want To See Facebook Get Regulated Out Of Its Productivity,0
92,AMZN,"Thu, 05 Apr 2018 20:00:00 -0400",President Donald Trump Claims Amazon Is Ripping Off The Post Office,0
93,FB,"Thu, 05 Apr 2018 20:00:00 -0400",Facebook will have to address the decline in tech stocks: Dana Perino,0
94,TSLA,"Thu, 05 Apr 2018 20:00:00 -0400",Analysis: Why it's time for Tesla to grow up,0
95,AAPL,"Thu, 05 Apr 2018 20:00:00 -0400",Apple hiring Google's former AI chief,0
96,TSLA,"Thu, 05 Apr 2018 20:00:00 -0400",Tesla back on the road to recovery?,0
97,FB,"Thu, 05 Apr 2018 20:00:00 -0400",How The Facebook Fallout Affects Funding In Silicon Valley,0
98,FB,"Wed, 04 Apr 2018 20:00:00 -0400",Mark Zuckerberg: Need To Ensure Developers Protect Data,0
99,FB,"Wed, 04 Apr 2018 20:00:00 -0400","Jim Cramer: Mark Zuckerberg Said Nothing Material, It Was An Reaffirmation Of Earnings",0
100,AMZN,"Wed, 04 Apr 2018 20:00:00 -0400",Amazon Is Sitting on a Profit Goldmine That Has Zero to Do With Retail,0
101,FB,"Wed, 04 Apr 2018 20:00:00 -0400",Sheryl Sandberg Says Facebook Needs to Do Better Protecting Data,0
102,NVDA,"Tue, 03 Apr 2018 20:00:00 -0400",Secretive Chinese Bitcoin Mining Company Just Revealed A New Chip That Could Hurt Nvidia and AMD.,0
103,AMZN,"Tue, 03 Apr 2018 20:00:00 -0400",Are the White House Knives Out for Amazon?,0
104,FB,"Tue, 03 Apr 2018 20:00:00 -0400",Facebook Admits Up to 87M People Affected by Cambridge Analytica,0
105,TSLA,"Tue, 03 Apr 2018 20:00:00 -0400",How China Tariffs Would Hit The Automaker Industry,0
106,AMZN,"Tue, 03 Apr 2018 20:00:00 -0400",Oracle's Catz Said to Discuss Amazon Contract Fight at Dinner With Trump,0
107,FB,"Tue, 03 Apr 2018 20:00:00 -0400",Facebook Did Not Take Broad Enough Look Toward User Data,0
108,TSLA,"Tue, 03 Apr 2018 20:00:00 -0400",Tesla Braces for Steeper China Taxes,0
109,AAPL,"Tue, 03 Apr 2018 20:00:00 -0400","Apple Working on Touchless Control, Curved Screen for iPhones",0
110,AMZN,"Mon, 02 Apr 2018 20:00:00 -0400",Kevin O'Leary On Amazon's Jeff Bezos: I Don't Think A CEO Should Run A Newspaper,0
111,AMZN,"Mon, 02 Apr 2018 20:00:00 -0400",President Donald Trump: Amazon Can Afford Fair Rate For Post Office,0
112,AMZN,"Mon, 02 Apr 2018 20:00:00 -0400",What Potential Amazon Regulation Could Mean for Silicon Valley,0
113,TSLA,"Mon, 02 Apr 2018 20:00:00 -0400",Tesla Falls Short of 1Q Model 3 Vehicle Target,0
114,AAPL,"Mon, 02 Apr 2018 20:00:00 -0400",Kara Swisher: I Think Mark Zuckerberg Is Trying To Insult Apple For Being Elite,0
115,FB,"Mon, 02 Apr 2018 20:00:00 -0400",Kara Swisher: I Think Mark Zuckerberg Is Trying To Insult Apple For Being Elite,0
116,FB,"Sun, 01 Apr 2018 20:00:00 -0400",MediaRadar CEO Sees Snap Potentially Leaving Facebook Ads,0
117,FB,"Sun, 01 Apr 2018 20:00:00 -0400",Zuckerberg Sees Several Years to Solve Facebook's Issues,0
118,AMZN,"Sun, 01 Apr 2018 20:00:00 -0400",Amazon Stock Plunged on Report Trump 'Obsessed' With Company,0
119,TSLA,"Sun, 01 Apr 2018 20:00:00 -0400",The Cult of Elon Musk Amid Tone-Deaf Tweets,0
120,AAPL,"Sun, 01 Apr 2018 20:00:00 -0400",Apple Said to Plan Move From Intel to Mac Chips,0
121,AMZN,"Sun, 01 Apr 2018 20:00:00 -0400","Amazon's Biggest Fear Factor Is Regulation, Says Jefferies' Thill",0
122,TSLA,"Sun, 01 Apr 2018 20:00:00 -0400",Tesla Faces Bond Decisions as Debt Woes Worsen,0
123,AAPL,"Sun, 01 Apr 2018 20:00:00 -0400",Mark Zuckerberg Responds To Apple's Facebook Critique,0
124,FB,"Sun, 01 Apr 2018 20:00:00 -0400",Mark Zuckerberg Responds To Apple's Facebook Critique,0
125,FB,"Wed, 11 Apr 2018 20:00:00 -0400",Facebook CEO Tells Congress Regulation Is 'Inevitable',0
126,FB,"Tue, 10 Apr 2018 20:00:00 -0400",Day 2 Highlights: Zuckerberg's House Testimony,0
127,FB,"Tue, 10 Apr 2018 20:00:00 -0400",The Highlights from Mark Zuckerberg's Marathon Congressional Testimony,0
128,AMZN,"Sun, 08 Apr 2018 20:00:00 -0400","Jim Cramer on Amazon, UPS, FedEx & Expedia",0
129,FB,"Sun, 08 Apr 2018 20:00:00 -0400",It's Not Too Late For Mark Zuckerberg To Apologize. Here's Why | CNBC,0
130,FB,"Sun, 08 Apr 2018 20:00:00 -0400",Rein in Zuckerberg and you rein in the shining stars of the economy: Varney,0
131,FB,"Sun, 08 Apr 2018 20:00:00 -0400",Facebook CEO Zuckerberg's Prepared Testimony Released Ahead of Hearings,0
132,FB,"Sun, 08 Apr 2018 20:00:00 -0400",Facebook Now Lets You Know If Your Data Was Shared With Cambridge Analytica | CNBC,0
133,AAPL,"Thu, 19 Apr 2018 20:00:00 -0400",Facebook shares a buy despite data scandal?,0
134,FB,"Thu, 19 Apr 2018 20:00:00 -0400",Facebook shares a buy despite data scandal?,0
135,GOOG,"Thu, 19 Apr 2018 20:00:00 -0400",Facebook shares a buy despite data scandal?,0
136,AMZN,"Thu, 19 Apr 2018 20:00:00 -0400",Elon Musk too distracted by other projects to focus on Tesla?,0
137,TSLA,"Thu, 19 Apr 2018 20:00:00 -0400",Elon Musk too distracted by other projects to focus on Tesla?,0
138,AAPL,"Thu, 19 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Amazon, Alphabet and Nucor",0
139,AMZN,"Thu, 19 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Amazon, Alphabet and Nucor",0
140,GOOG,"Thu, 19 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Amazon, Alphabet and Nucor",0
141,AMZN,"Thu, 19 Apr 2018 20:00:00 -0400",Comey scheduled to speak at Amazon on Monday,0
142,GOOG,"Thu, 19 Apr 2018 20:00:00 -0400",Silicon Valley companies join Google protestors in fighting drone program,0
143,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400",Piper Jaffray's Olson Sees Amazon Web Services Growing,0
144,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400","Jeff Bezos, Amazon have nothing to do with USPS issues: Mnuchin",0
145,GOOG,"Wed, 18 Apr 2018 20:00:00 -0400",Google employees protest drone project,0
146,TSLA,"Wed, 18 Apr 2018 20:00:00 -0400",Tesla gets hit with workplace safety probe,0
147,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400",Amazon Is a Growing Beast of Epic Proportions,0
148,MSFT,"Wed, 18 Apr 2018 20:00:00 -0400","Microsoft 'Exceeded Our Expectations,' Says LinkedIn CEO Jeff Weiner",0
149,FB,"Wed, 18 Apr 2018 20:00:00 -0400",Will Facebook earnings take a hit from the data scandal?,0
150,AMZN,"Wed, 18 Apr 2018 20:00:00 -0400",Amazon Prime tops 100M users,0
151,FB,"Wed, 18 Apr 2018 20:00:00 -0400",Richard Quest: Companies should follow Starbucks' example,0
152,AAPL,"Wed, 18 Apr 2018 20:00:00 -0400","Jim Cramer on Apple, Procter & Gamble, Nucor and Acacia Communications",0
153,FB,"Wed, 18 Apr 2018 20:00:00 -0400",Facebook now asking conservatives for help avoiding burdensome regulations,0
154,MSFT,"Wed, 18 Apr 2018 20:00:00 -0400",Microsoft puts sexiness ahead of security: Ex-CIA cyber officer,0
